CustId,AccountLocation,Title,FirstName,LastName,CreateDate,CountryCode,Language,Status,DateOfBirth,Contact,CustomerGroup
4188499,GIB,Mr,Elvis,Presley,11/1/11,US,en,A,10/18/48,Y,Bronze
1191874,GIB,Mr,Jim,Morrison,9/19/08,US,en,A,7/27/67,Y,Gold
3042166,GIB,Mr,Keith,Moon,1/11/11,UK ,en,A,7/26/70,Y,Gold
5694730,GIB,Mr,James,Hendrix,10/10/12,US,en,A,4/5/76,N,Bronze
4704925,GIB,Mr,Marc,Bolan,3/26/12,UK ,en,A,3/11/82,Y,Bronze
1569944,GIB,Miss,Janice,Joplin,4/9/09,US,en,A,8/22/54,Y,Gold
3531845,GIB,Mr,Bon,Scott,4/2/11,AU,en,A,10/22/75,N,Silver
2815836,GIB,Mr,Buddy,Holly,10/17/10,US,en,A,1/13/64,Y,Silver
889782,GIB,Mr,Bob,Marley,1/16/08,UK ,en,A,4/18/64,Y,Silver
1965214,GIB,Mr,Sidney,Vicious,12/18/09,UK ,en,A,8/12/76,N,Bronze
